,Bankrupt,TA,GP,Sales,Cash,LT Debt,Inventories,Current liabilities,Retained earnings,Current assets,EBIT,Operating income,ROA,ROE,ROS,NI,WC
6525,,182925000,276000,744000,,,2278000.0,181143000.0,1772000.0,69742000,276000.0,276000.0,0.0013,0.0155,0.371,276000.0,1782000.0
6526,,2348871000,8495000,2019114000,31667000.0,13000.0,45200000.0,2338031000.0,10818000.0,2348261000,4712000.0,5960000.0,0.0023,0.3793,0.0017,3452000.0,10827000.0
6527,,157918000,85609000,357946000,37643000.0,,31584000.0,113678000.0,44209000.0,97372000,2095000.0,21927000.0,0.011,0.0367,0.0045,1594000.0,44240000.0
6528,,11490000,18000,309000,1000.0,,5583000.0,11829000.0,-349000.0,11220000,-64000.0,18000.0,-0.0049,0.2088,-0.2071,-64000.0,-339000.0
6529,,44792000,1296000,49612000,1634000.0,,22581000.0,44770000.0,12000.0,37603000,417000.0,1296000.0,0.0003,0.2581,0.0002,12000.0,22000.0
6530,,4642000,75000,2280000,,,4629000.0,3515000.0,1108000.0,4629000,51000.0,75000.0,0.0072,0.0371,0.018,41000.0,1127000.0
6531,,388578000,29869000,398128000,11438000.0,22581000.0,318724000.0,118774000.0,242590000.0,374698000,1674000.0,4333000.0,0.0026,0.004,0.0025,984000.0,247234000.0
6532,,114461000,13609000,159553000,761000.0,,12963000.0,105994000.0,8355000.0,41845000,1185000.0,3099000.0,0.0042,0.1124,0.0056,901000.0,49655000.0
6533,,12232000,7090000,19599000,321000.0,,369000.0,11770000.0,452000.0,10352000,92000.0,423000.0,0.0069,0.1741,0.0038,74000.0,462000.0
6534,,31198000,12742000,70923000,163000.0,417000.0,7977000.0,17461000.0,11875000.0,29338000,-4621000.0,1452000.0,-0.1061,-0.2765,-0.0602,-4273000.0,13320000.0
6535,,118169000,6211000,95754000,5802000.0,,33657000.0,114419000.0,3740000.0,116445000,659000.0,868000.0,0.0033,0.0747,0.0028,270000.0,3750000.0
6536,,50641000,30982000,321204000,241000.0,,6083000.0,44418000.0,6212000.0,49399000,2951000.0,3594000.0,0.0536,0.4391,0.007,2240000.0,6223000.0
6537,,5063000,723000,723000,110000.0,,11000.0,1443000.0,,4838000,,7000.0,,,,,3620000.0
6538,,11198000,1000,313000,1000.0,4870000.0,9743000.0,6030000.0,,11185000,1000.0,1000.0,,,,,298000.0
6539,,71765000,15551000,312693000,12882000.0,,26770000.0,69080000.0,2675000.0,42663000,764000.0,15551000.0,0.0094,0.1736,0.002,611000.0,2685000.0
6540,,100698000,5396000,131517000,57000.0,33191000.0,1874000.0,57503000.0,9579000.0,100194000,5125000.0,5396000.0,0.048,0.4344,0.039,5125000.0,10004000.0
6541,,78585000,12361000,76663000,95000.0,904000.0,39173000.0,60111000.0,13659000.0,77991000,5364000.0,7956000.0,0.0422,0.203,0.0431,3302000.0,17570000.0
6542,,3568000,5359000,10210000,305000.0,886000.0,439000.0,872000.0,1800000.0,1971000,366000.0,694000.0,-0.2905,-0.5088,-0.121,-1235000.0,1810000.0
6543,,68542000,1503000,101706000,357000.0,3853000.0,30155000.0,47108000.0,1261000.0,43812000,371000.0,1503000.0,0.0043,0.017,0.0029,297000.0,17581000.0
6544,,135000,12000,721000,31000.0,,,,12000.0,31000,12000.0,12000.0,0.0502,0.0502,0.0166,12000.0,135000.0
6545,,1862514000,26370000,62020000,59490000.0,,5289000.0,12270000.0,1850239000.0,1278844000,24703000.0,19593000.0,0.0105,0.0106,0.3149,19528000.0,1850244000.0
6546,,58869000,935000,3442000,17000.0,,41256000.0,68446000.0,-9607000.0,53264000,476000.0,935000.0,0.0018,-0.0213,0.0924,318000.0,-9577000.0
6547,,17434000,1740000,7340000,1833000.0,,472000.0,5015000.0,12409000.0,17328000,1554000.0,620000.0,0.0675,0.1001,0.1614,1185000.0,12419000.0
